DVD_Title|Studio|Released|Status|Sound|Versions|Price|Rating|Year|Genre|Aspect|UPC|DVD_ReleaseDate|ID|Timestamp|Updated
Animated Medical & Health Dictionary (Book w/ DVD)|Focus Medica Pte Ltd.||Out|2.0|4:3|24.95|NR|2010|Special Interest|1.33:1|9789814284059|2010-01-01 00:00:00|173996|2013-11-22 00:00:00|1
Anna Netrebko & Dmitri Hvorostovsky: Live From Red Square Moscow|Deutsche Grammophon||Out|5.1/DTS|LBX, 16:9|29.98|NR|UNK|Music|1.78:1|044007345290|2013-11-19 00:00:00|253450|2013-11-19 00:00:00|1
Anna Netrebko & Dmitri Hvorostovsky: Live From Red Square Moscow (Blu-ray)|Deutsche Grammophon||Out|5.1/DTS|LBX, 16:9, BLU-RAY|39.98|NR|UNK|Music|1.78:1|044007345467|2013-11-19 00:00:00|253462|2013-11-19 00:00:00|1
Anna Netrebko: Sempre Libera (Audio Only Blu-ray)|Deutsche Grammophon||Out|2.0|4:3, BLU-RAY|24.98|NR|UNK|Music|1.33:1|028947907756|2013-11-19 00:00:00|254102|2013-11-19 00:00:00|1
Antonio Aguilar (Vanguard/ 5-Pack): Bala Perdida / Yo El Mujeriego / Cabino Barrera / Caballo Prieto Azabachee/ ...|Vanguard||Discontinued|2.0|4:3|79.95|NR|VAR|Horror|1.33:1|658769441130|2004-10-26 00:00:00|47821|2013-11-21 00:00:00|1
Apartment (1960)|MGM/UA||Out|1.0|LBX, 16:9|14.98|NR|1960|Comedy|2.35:1|027616862686|2001-12-18 00:00:00|10680|2013-11-21 00:00:00|1
Apartment Zero (Anchor Bay)|Anchor Bay||Out|2.0|LBX, 16:9|9.98|R|1988|Thriller|1.85:1|013137210396|2007-02-20 00:00:00|101415|2013-11-21 00:00:00|1
Apocalypse Pompeii|Gaiam Vivendi|2014-02-18 00:00:00|Pending|2.0|LBX, 16:9|14.93|NR|UNK|Action/Adventure|1.85:1|018713611741|2014-02-18 00:00:00|256147|2013-11-20 00:00:00|0
Apocalypse Pompeii (Blu-ray)|Gaiam Vivendi|2014-02-18 00:00:00|Pending|2.0|LBX, 16:9, BLU-RAY|19.93|NR|UNK|Action/Adventure|1.85:1|018713611758|2014-02-18 00:00:00|256120|2013-11-20 00:00:00|0
Appleseed XIII: Tartaros & Ouranos|FUNimation|2014-02-25 00:00:00|Pending|2.0|LBX, 16:9|29.98|MA13|UNK|Anime|1.85:1|704400091278|2014-02-25 00:00:00|256190|2013-11-21 00:00:00|0
Appleseed XIII: Tartaros & Ouranos (DVD & Blu-ray Combo)|FUNimation|2014-02-25 00:00:00|Pending|2.0|LBX, 16:9, BLU-RAY|34.98|MA13|UNK|Anime|1.85:1|704400091285|2014-02-25 00:00:00|256157|2013-11-21 00:00:00|0
As I Lay Dying|Millennium Media Services||Out|5.1|LBX, 16:9|28.99|R|2013|Drama|1.78:1|687797143495|2013-11-05 00:00:00|252099|2013-11-20 00:00:00|1
Assault On Precinct 13 (1976/ Shout! Factory/ Collector's Edition/ DVD & Blu-ray Combo)|Shout! Factory||Out|2.0|LBX, 16:9, BLU-RAY|26.99|R|1976|Action/Adventure|2.35:1|826663144352|2013-11-19 00:00:00|251125|2013-11-19 00:00:00|1
Attack 3-Pack: Kiss Of The Dragon (Widescreen/ Special Edition) / Predator / Commando|Fox||Out|VAR|VAR|24.98|VAR|VAR|Action/Adventure|VAR|024543903710|2005-11-01 00:00:00|70036|2013-11-21 00:00:00|1
B.A.M.150|Cinema Guild||Out|2.0|LBX, 16:9|29.95|NR|2012|Documentary|1.85:1|881164000736|2013-11-19 00:00:00|252996|2013-11-19 00:00:00|1
Baby Boom Years: 1948|S'More Entertainment||Out|2.0|4:3|7.98|NR|UNK|Documentary|1.33:1|089353714123|2013-11-19 00:00:00|251936|2013-11-19 00:00:00|1
Baby Boom Years: 1955|S'More Entertainment||Out|2.0|4:3|7.98|NR|UNK|Documentary|1.33:1|089353714826|2013-11-19 00:00:00|251952|2013-11-19 00:00:00|1
Baby Boom Years: 1962|S'More Entertainment||Out|2.0|4:3|7.98|NR|UNK|Documentary|1.33:1|089353715526|2013-11-19 00:00:00|251913|2013-11-19 00:00:00|1
Bad Bunch|VCI|2014-02-11 00:00:00|Pending|2.0|4:3|14.93|R|1973|Action/Adventure|1.33:1|089859871726|2014-02-11 00:00:00|256152|2013-11-20 00:00:00|0
Bailey's Billion$ / White Fang (1993), Vol. 1|Echo Bridge||Discontinued|2.0|4:3|9.99|G|VAR|VAR|1.33:1|096009556594|2008-02-14 00:00:00|131691|2013-11-21 00:00:00|1
Barbara (2012)|Adopt Films||Out|SUB|LBX, 16:9|29.95|PG-13|2012|Foreign|1.85:1|713757948739|2013-11-12 00:00:00|251543|2013-11-20 00:00:00|1
Barbara (2012/ Blu-ray)|Adopt Films||Out|SUB|LBX, 16:9, BLU-RAY|34.95|PG-13|2012|Foreign|1.85:1|713757948630|2013-11-12 00:00:00|251565|2013-11-20 00:00:00|1
Barbershop / Beauty Shop (2005)|MGM/UA|2014-01-21 00:00:00|Pending|5.1|LBX, 16:9|14.98|PG-13|VAR|Comedy|VAR|883904307365|2014-01-21 00:00:00|256269|2013-11-22 00:00:00|0
Barbie & Her Sisters In A Pony Tale (Rental Ready)|Universal||Discontinued|2.0|LBX, 16:9|19.98|NR|2013|Family|1.78:1|025192169052|2013-11-19 00:00:00|250756|2013-11-22 00:00:00|1
Barbra Streisand: Back To Brooklyn (DVD/CD Combo)|Columbia Records||Out|2.0|4:3|22.98|NR|UNK|Music|1.33:1|888430075894|2013-11-25 00:00:00|254409|2013-11-19 00:00:00|1
Bat 21 (MGM/UA)|MGM/UA||Out|2.0|4:3 P&S, LBX, 16:9|14.98|R|1988|Action/Adventure|1.85:1|027616855527|2000-12-05 00:00:00|8756|2013-11-21 00:00:00|1
Bava Box Set, Vol. 1: Black Sunday / Black Sabbath / Girl Who Knew Too Much / Knives Of The Avenger / Four Times That Night|Anchor Bay||Out|2.0|4:3|29.97|NR|VAR|Horror|1.33:1|013131485493|2007-04-03 00:00:00|103851|2013-11-21 00:00:00|1
Beethoven: Symphony No. 9: Herbert von Karajan (Audio Only Blu-ray)|Deutsche Grammophon||Out|5.1 DTS-HD|4:3, BLU-RAY|24.98|NR|UNK|Music|1.33:1|028947910831|2013-11-19 00:00:00|254081|2013-11-19 00:00:00|1
Beethoven: Symphony Nos. 5 & 7: Carlos Kleiber (Audio Only Blu-ray)|Deutsche Grammophon||Out|2.0|4:3, BLU-RAY|24.98|NR|UNK|Music|1.33:1|028947911067|2013-11-19 00:00:00|254099|2013-11-19 00:00:00|1
Beethoven: Violin Concerto/Romances: Anne-Sophie Mutter (Audio Only Blu-ray)|Deutsche Grammophon||Out|2.0|4:3, BLU-RAY|24.98|NR|UNK|Music|1.33:1|028947910633|2013-11-19 00:00:00|254097|2013-11-19 00:00:00|1
Bells Of St. Mary's (Olive Films)|Olive Films||Out|2.0|4:3|19.95|NR|1945|Drama|1.37:1|887090075107|2013-11-19 00:00:00|252419|2013-11-19 00:00:00|1
Bells Of St. Mary's (Olive Films/ Blu-ray)|Olive Films||Out|2.0|4:3, BLU-RAY|29.95|NR|1945|Drama|1.37:1|887090075206|2013-11-19 00:00:00|252386|2013-11-19 00:00:00|1
Benny & Joon (Special Edition)|MGM/UA||Out|SUR|LBX, 16:9|14.98|PG|1993|Comedy|1.85:1|883904249382|2011-09-27 00:00:00|215453|2013-11-21 00:00:00|1
Best Of Military Vehicles|ArtsmagicDVD||Out|2.0|4:3|14.95|NR|UNK|Special Interest|1.33:1|881482333394|2013-11-19 00:00:00|251009|2013-11-19 00:00:00|1
Best Yes|Thomas Nelson|2014-08-12 00:00:00|Pending|2.0|4:3|26.99|NR|2014|Special Interest|1.33:1|9781400205943|2014-08-12 00:00:00|256180|2013-11-21 00:00:00|0
Best Yes (w/ Book)|Thomas Nelson|2014-08-12 00:00:00|Pending|2.0|4:3|36.99|NR|2014|Special Interest|1.33:1|9780529108142|2014-08-12 00:00:00|256160|2013-11-21 00:00:00|0
Beverly Hills, 90210 (1990/ Paramount): The 1st - 10th Seasons: The Complete Series (Old Version)|Paramount||Discontinued|2.0|4:3|369.99|NR|VAR|TV Classics|1.33:1|097360731040|2010-11-02 00:00:00|188437|2013-11-21 00:00:00|1
Beyonce: Life Is But A Dream|Columbia Records||Out|2.0|4:3|21.98|NR|2013|Music|1.33:1|888430086593|2013-11-25 00:00:00|255157|2013-11-21 00:00:00|1
Beyonce: Life Is But A Dream (Blu-ray)|Columbia Records|2013-12-17 00:00:00|Pending|2.0|LBX, 16:9, BLU-RAY|29.98|NR|2013|Music|1.78:1|888430242494|2013-12-17 00:00:00|256220|2013-11-21 00:00:00|0
